MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
1,0.000,0.4061E-01,0.000,0.4042E-01,35.92,0.7822E-03,0.70,0.5929E-04,0.05
2,0.000,0.2069E-01,0.000,0.2927E-04,0.03,0.5154E-04,0.05,0.3710E-03,0.33
3,0.000,0.1753E-01,0.000,0.1281E-07,0.00,0.8021E-02,7.13,0.7819E-03,0.69
4,0.1885E-04,0.1114,0.7814E-09,0.1901E-01,16.89,0.1432E-02,1.27,0.8303E-01,73.79
5,0.9023E-04,0.3799E-01,0.6105E-08,0.5273E-01,46.86,0.7503E-03,0.67,0.2813E-01,25.00
6,0.4016E-03,0.4193E-01,0.1335E-06,0.3356E-03,0.30,0.1015,90.19,0.1486E-03,0.13
7,2.980,0.1008E-01,1.766,0.000,0.00,0.000,0.00,0.000,0.00
8,4.049,0.1418E-01,4.587,0.000,0.00,0.000,0.00,0.000,0.00
9,15.00,0.1638E-01,72.71,0.000,0.00,0.000,0.00,0.000,0.00
10,15.47,0.8042E-02,37.98,0.000,0.00,0.000,0.00,0.000,0.00
11,17.01,0.7003E-02,40.00,0.000,0.00,0.000,0.00,0.000,0.00
12,17.64,0.2528E-02,15.52,0.000,0.00,0.000,0.00,0.000,0.00
13,18.71,0.2203E-02,15.21,0.000,0.00,0.000,0.00,0.000,0.00
14,19.50,0.1756E-02,13.18,0.000,0.00,0.000,0.00,0.000,0.00
15,20.47,0.4767E-02,39.43,0.000,0.00,0.000,0.00,0.000,0.00
16,21.50,0.6570E-02,59.95,0.000,0.00,0.000,0.00,0.000,0.00
17,22.09,0.2991E-02,28.82,0.000,0.00,0.000,0.00,0.000,0.00
18,22.95,0.7197E-02,74.83,0.000,0.00,0.000,0.00,0.000,0.00
19,23.29,0.3920E-02,41.95,0.000,0.00,0.000,0.00,0.000,0.00
20,23.59,0.4449E-02,48.87,0.000,0.00,0.000,0.00,0.000,0.00
21,29.83,0.2890E-02,50.75,0.000,0.00,0.000,0.00,0.000,0.00
22,33.16,0.3930E-02,85.29,0.000,0.00,0.000,0.00,0.000,0.00
23,34.89,0.8831E-02,212.2,0.000,0.00,0.000,0.00,0.000,0.00
24,38.90,0.9758E-02,291.4,0.000,0.00,0.000,0.00,0.000,0.00
25,39.16,0.1053E-01,318.8,0.000,0.00,0.000,0.00,0.000,0.00
26,40.01,0.6650E-02,210.1,0.000,0.00,0.000,0.00,0.000,0.00
27,41.19,0.2281E-02,76.39,0.000,0.00,0.000,0.00,0.000,0.00
28,42.76,0.1548E-02,55.87,0.000,0.00,0.000,0.00,0.000,0.00
29,44.23,0.7379E-02,285.0,0.000,0.00,0.000,0.00,0.000,0.00
30,45.37,0.6593E-03,26.79,0.000,0.00,0.000,0.00,0.000,0.00
31,46.57,0.5980E-03,25.60,0.000,0.00,0.000,0.00,0.000,0.00
32,51.52,0.4280E-02,224.2,0.000,0.00,0.000,0.00,0.000,0.00
33,53.03,0.5922E-02,328.8,0.000,0.00,0.000,0.00,0.000,0.00
34,55.13,0.2731E-02,163.9,0.000,0.00,0.000,0.00,0.000,0.00
35,57.64,0.6606E-02,433.2,0.000,0.00,0.000,0.00,0.000,0.00
36,59.91,0.1539E-02,109.0,0.000,0.00,0.000,0.00,0.000,0.00
37,62.26,0.4925E-02,376.8,0.000,0.00,0.000,0.00,0.000,0.00
38,64.13,0.1580E-02,128.3,0.000,0.00,0.000,0.00,0.000,0.00
39,65.27,0.4134E-02,347.6,0.000,0.00,0.000,0.00,0.000,0.00
40,65.68,0.4610E-02,392.6,0.000,0.00,0.000,0.00,0.000,0.00
41,68.99,0.8176E-03,76.82,0.000,0.00,0.000,0.00,0.000,0.00
42,73.73,0.5887E-03,63.16,0.000,0.00,0.000,0.00,0.000,0.00
43,75.42,0.5191E-03,58.29,0.000,0.00,0.000,0.00,0.000,0.00
44,78.96,0.1279E-02,157.4,0.000,0.00,0.000,0.00,0.000,0.00
45,88.82,0.1435E-02,223.5,0.000,0.00,0.000,0.00,0.000,0.00
46,97.77,0.1635E-02,308.5,0.000,0.00,0.000,0.00,0.000,0.00
47,108.0,0.2950E-02,679.4,0.000,0.00,0.000,0.00,0.000,0.00
48,111.6,0.3439E-02,845.1,0.000,0.00,0.000,0.00,0.000,0.00
49,113.5,0.2798E-02,711.9,0.000,0.00,0.000,0.00,0.000,0.00
50,120.1,0.1500E-02,426.7,0.000,0.00,0.000,0.00,0.000,0.00
51,127.9,0.3559E-02,1149.,0.000,0.00,0.000,0.00,0.000,0.00
52,134.6,0.2727E-02,975.8,0.000,0.00,0.000,0.00,0.000,0.00
53,136.5,0.3929E-03,144.6,0.000,0.00,0.000,0.00,0.000,0.00
54,139.5,0.1779E-02,683.4,0.000,0.00,0.000,0.00,0.000,0.00
55,142.5,0.9141E-03,366.5,0.000,0.00,0.000,0.00,0.000,0.00
56,148.4,0.2859E-03,124.4,0.000,0.00,0.000,0.00,0.000,0.00
57,154.9,0.1102E-02,521.7,0.000,0.00,0.000,0.00,0.000,0.00
