MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS
1,0.00000,0.0000,197.31,1.000000,38932.1,0.767640,0.767640
2,0.00000,0.0000,4.2476,0.021527,18.0423,0.767996,0.355747E-03
3,0.00000,0.0000,9.4305,0.047795,88.9342,0.769749,0.175355E-02
4,0.188541E-04,53039.,-40.543,0.205474,1643.70,0.802159,0.324095E-01
5,0.902271E-04,11083.,-83.790,0.424656,7020.73,0.940589,0.138431
6,0.401619E-03,2489.9,-54.892,0.278198,3013.12,1.00000,0.594108E-01
7,2.97958,0.33562,0.11290E-05,0.000000,0.127462E-11,1.00000,0.251322E-16
8,4.04859,0.24700,-0.22512E-06,0.000000,0.506782E-13,1.00000,0.999241E-18
9,14.9976,0.66677E-01,-0.14169E-07,0.000000,0.200760E-15,1.00000,0.395847E-20
10,15.4687,0.64647E-01,0.67806E-07,0.000000,0.459770E-14,1.00000,0.906546E-19
11,17.0110,0.58786E-01,0.0000,0.000000,0.00000,1.00000,0.00000
12,17.6363,0.56701E-01,-0.66552E-08,0.000000,0.442917E-16,1.00000,0.873316E-21
13,18.7057,0.53460E-01,-0.15178E-07,0.000000,0.230357E-15,1.00000,0.454204E-20
14,19.4972,0.51289E-01,-0.39200E-07,0.000000,0.153663E-14,1.00000,0.302982E-19
15,20.4695,0.48853E-01,0.0000,0.000000,0.00000,1.00000,0.00000
16,21.5002,0.46511E-01,-0.62228E-07,0.000000,0.387229E-14,1.00000,0.763514E-19
17,22.0935,0.45262E-01,0.10804E-07,0.000000,0.116735E-15,1.00000,0.230171E-20
18,22.9505,0.43572E-01,-0.25897E-07,0.000000,0.670671E-15,1.00000,0.132239E-19
19,23.2851,0.42946E-01,-0.30182E-07,0.000000,0.910971E-15,1.00000,0.179620E-19
20,23.5905,0.42390E-01,0.21763E-07,0.000000,0.473607E-15,1.00000,0.933829E-20
21,29.8266,0.33527E-01,0.95522E-07,0.000000,0.912436E-14,1.00000,0.179909E-18
22,33.1580,0.30159E-01,-0.19279E-07,0.000000,0.371669E-15,1.00000,0.732835E-20
23,34.8894,0.28662E-01,-0.32705E-07,0.000000,0.106961E-14,1.00000,0.210900E-19
24,38.8985,0.25708E-01,0.0000,0.000000,0.00000,1.00000,0.00000
25,39.1607,0.25536E-01,0.0000,0.000000,0.00000,1.00000,0.00000
26,40.0076,0.24995E-01,0.0000,0.000000,0.00000,1.00000,0.00000
27,41.1871,0.24279E-01,-0.10883E-07,0.000000,0.118444E-15,1.00000,0.233541E-20
28,42.7565,0.23388E-01,0.13315E-07,0.000000,0.177302E-15,1.00000,0.349592E-20
29,44.2327,0.22608E-01,0.0000,0.000000,0.00000,1.00000,0.00000
30,45.3676,0.22042E-01,-0.18807E-07,0.000000,0.353709E-15,1.00000,0.697422E-20
31,46.5668,0.21475E-01,0.23524E-07,0.000000,0.553361E-15,1.00000,0.109108E-19
32,51.5215,0.19409E-01,0.0000,0.000000,0.00000,1.00000,0.00000
33,53.0340,0.18856E-01,0.0000,0.000000,0.00000,1.00000,0.00000
34,55.1332,0.18138E-01,0.0000,0.000000,0.00000,1.00000,0.00000
35,57.6416,0.17349E-01,0.0000,0.000000,0.00000,1.00000,0.00000
36,59.9122,0.16691E-01,0.0000,0.000000,0.00000,1.00000,0.00000
37,62.2555,0.16063E-01,0.0000,0.000000,0.00000,1.00000,0.00000
38,64.1323,0.15593E-01,0.84818E-08,0.000000,0.719414E-16,1.00000,0.141850E-20
39,65.2686,0.15321E-01,0.0000,0.000000,0.00000,1.00000,0.00000
40,65.6824,0.15225E-01,0.0000,0.000000,0.00000,1.00000,0.00000
41,68.9927,0.14494E-01,0.0000,0.000000,0.00000,1.00000,0.00000
42,73.7253,0.13564E-01,0.0000,0.000000,0.00000,1.00000,0.00000
43,75.4245,0.13258E-01,0.0000,0.000000,0.00000,1.00000,0.00000
44,78.9648,0.12664E-01,0.0000,0.000000,0.00000,1.00000,0.00000
45,88.8157,0.11259E-01,0.0000,0.000000,0.00000,1.00000,0.00000
46,97.7743,0.10228E-01,0.0000,0.000000,0.00000,1.00000,0.00000
47,108.021,0.92575E-02,0.0000,0.000000,0.00000,1.00000,0.00000
48,111.579,0.89622E-02,0.0000,0.000000,0.00000,1.00000,0.00000
49,113.534,0.88079E-02,0.0000,0.000000,0.00000,1.00000,0.00000
50,120.069,0.83286E-02,0.0000,0.000000,0.00000,1.00000,0.00000
51,127.893,0.78190E-02,0.0000,0.000000,0.00000,1.00000,0.00000
52,134.643,0.74271E-02,0.0000,0.000000,0.00000,1.00000,0.00000
53,136.547,0.73235E-02,0.0000,0.000000,0.00000,1.00000,0.00000
54,139.487,0.71691E-02,0.0000,0.000000,0.00000,1.00000,0.00000
55,142.513,0.70169E-02,0.0000,0.000000,0.00000,1.00000,0.00000
56,148.445,0.67365E-02,0.0000,0.000000,0.00000,1.00000,0.00000
57,154.860,0.64575E-02,0.0000,0.000000,0.00000,1.00000,0.00000
58,168.850,0.59224E-02,0.0000,0.000000,0.00000,1.00000,0.00000
59,171.813,0.58203E-02,0.0000,0.000000,0.00000,1.00000,0.00000
60,172.995,0.57805E-02,0.0000,0.000000,0.00000,1.00000,0.00000
61,175.481,0.56986E-02,0.0000,0.000000,0.00000,1.00000,0.00000
62,176.552,0.56640E-02,0.0000,0.000000,0.00000,1.00000,0.00000
63,179.291,0.55775E-02,0.0000,0.000000,0.00000,1.00000,0.00000
64,181.852,0.54990E-02,0.0000,0.000000,0.00000,1.00000,0.00000
