"MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS"
"1,0.00000,0.0000,0.73654E-01,0.277626,0.542494E-02,0.518536E-01,0.518536E-01"
"2,0.00000,0.0000,0.26530,1.000000,0.703843E-01,0.724614,0.672760,"
"3,0.516279E-04,19369.,-0.14802E-02,0.005579,0.219085E-05,0.724635,0.209409E-04"
"4,0.132210E-03,7563.7,-0.68420E-01,0.257897,0.468131E-02,0.769380,0.447458E-01"
"5,0.139107E-03,7188.7,0.15127,0.570169,0.228814E-01,0.988090,0.218709,"
"6,0.174545E-03,5729.2,0.35299E-01,0.133054,0.124605E-02,1.00000,0.119102E-01"
"7,0.825874,1.2108,0.49252E-08,0.000000,0.242577E-16,1.00000,0.231864E-15"
"8,1.37942,0.72494,0.0000,0.000000,0.00000,1.00000,0.00000,"
"9,5.15195,0.19410,0.0000,0.000000,0.00000,1.00000,0.00000,"
"10,5.55112,0.18014,0.0000,0.000000,0.00000,1.00000,0.00000,"
"11,7.80438,0.12813,0.0000,0.000000,0.00000,1.00000,0.00000,"
"12,7.90242,0.12654,0.0000,0.000000,0.00000,1.00000,0.00000,"
"13,9.64427,0.10369,0.0000,0.000000,0.00000,1.00000,0.00000,"
"14,9.71578,0.10293,0.0000,0.000000,0.00000,1.00000,0.00000,"
"15,10.9835,0.91045E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"16,11.1331,0.89822E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"17,11.8886,0.84114E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"18,12.3906,0.80707E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"19,12.9997,0.76925E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"20,13.0910,0.76388E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"21,16.8678,0.59285E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"22,17.2057,0.58120E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"23,17.3935,0.57493E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"24,18.1521,0.55090E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"25,19.2393,0.51977E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"26,20.5862,0.48576E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"27,21.2143,0.47138E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"28,22.6054,0.44237E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"29,23.5449,0.42472E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"30,24.1432,0.41419E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"31,28.4161,0.35191E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"32,28.7731,0.34755E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"33,30.1277,0.33192E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"34,31.3250,0.31923E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"35,31.7124,0.31533E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"36,36.6042,0.27319E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"37,38.8040,0.25771E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"38,41.7207,0.23969E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"39,42.6584,0.23442E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"40,42.9570,0.23279E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"41,48.2270,0.20735E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"42,51.4107,0.19451E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"43,51.8883,0.19272E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"44,53.0039,0.18867E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"45,53.1377,0.18819E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"46,55.1666,0.18127E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"47,57.3996,0.17422E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"48,60.6498,0.16488E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"49,69.9913,0.14287E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"50,70.5289,0.14179E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"51,76.9966,0.12988E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"52,84.2246,0.11873E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"53,86.3429,0.11582E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
